id;Image;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;État
4512;http://www.convertiblecenter.fr/img/p/3/6/1/5/1/36151.jpg;Matelas 120 x 190 d'une densité de 55KG/M3 - pour achat canapé convertible;;Matelas options;205.000000;249;64;1
17654;http://www.convertiblecenter.fr/img/p/3/4/5/3/4/34534.jpg;Banquette Clic-clac OSLO - Largeur 190cm - Couchage 130cm;;Clic-clac - Couchage 130cm;1042.916667;629;-2;1
13951;http://www.convertiblecenter.fr/img/p/3/0/8/5/6/30856.jpg;Canapé convertible 2 places ROVIGA - Largeur 172 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1945.489660;979;-2;1
17749;http://www.convertiblecenter.fr/img/p/3/6/6/8/3/36683.jpg;FOCUS - Largeur 290 cm - Canapé d'angle convertible - Méridienne réversible - Couchage 160 cm - Matelas 18 cm;;Angles convertibles 6 places  - 160 cm;4073.750000;2399;-1;1
4522;http://www.convertiblecenter.fr/img/p/3/6/1/5/9/36159.jpg;Matelas 80 x 190 d'une densité de 35KG/M3 - pour achat canapé convertible;;Matelas options;110.833333;139;32;1
17673;http://www.convertiblecenter.fr/img/p/3/4/8/0/8/34808.jpg;Fauteuil relaxation releveur TOLEDE - Largeur 73 cm;;Fauteuils relax manuels ;1626.250000;979;0;1
17764;http://www.convertiblecenter.fr/img/p/3/7/0/7/6/37076.jpg;Canapé convertible 3 places RAFAEL - Largeur 185 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;3740.416667;1799;0;1
10351;http://www.convertiblecenter.fr/img/p/3/0/6/6/9/30669.jpg;Canapé convertible 2 places METZ - Largeur 160 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1632.270030;879;12;1
17684;http://www.convertiblecenter.fr/img/p/3/5/0/1/9/35019.jpg;Canapé relax 3 places SUPREME  - Largeur 200 cm;;Canapés relax;2281.666667;1369;2;1
10861;http://www.convertiblecenter.fr/img/p/3/1/1/6/2/31162.jpg;Canapé convertible 4 places BORDEAUX - Largeur 216 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2700.209020;1299;-5;1
